IMU calibration complete.
IMU initialized successfully!
BARO sensor initialized!
Failed to initialize SD card.
SD card initialized successfully!
Ready to start!!
Waiting for button to start logging...
Button Pressed. logging starting...
Error opening file for logging.
magX,magY,magZ

-12.00,-8.00,28.00


-12.00,-8.00,28.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-12.00,-9.00,29.00


-14.00,-11.00,31.00


-14.00,-11.00,31.00


-14.00,-11.00,31.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-11.00,-10.00,25.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-12.00,-12.00,32.00


-13.00,-9.00,25.00


-13.00,-9.00,25.00


-13.00,-9.00,25.00


-14.00,-12.00,28.00


-14.00,-12.00,28.00


-14.00,-12.00,28.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-12.00,-12.00,29.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-13.00,-10.00,29.00


-14.00,-9.00,28.00


-14.00,-9.00,28.00


-14.00,-9.00,28.00


-14.00,-9.00,28.00


-13.00,-10.00,27.00


-13.00,-10.00,27.00


-13.00,-10.00,27.00


-13.00,-12.00,29.00


-13.00,-12.00,29.00


-13.00,-12.00,29.00


-14.00,-9.00,29.00


-14.00,-9.00,29.00


-14.00,-9.00,29.00


-14.00,-9.00,29.00


-14.00,-10.00,31.00


-14.00,-10.00,31.00


-14.00,-10.00,31.00


-16.00,-9.00,32.00


-16.00,-9.00,32.00


-16.00,-9.00,32.00


-18.00,-8.00,32.00


-18.00,-8.00,32.00


-18.00,-8.00,32.00


-18.00,-8.00,32.00


-21.00,-10.00,37.00


-21.00,-10.00,37.00


-21.00,-10.00,37.00


-25.00,-10.00,37.00


-25.00,-10.00,37.00


-25.00,-10.00,37.00


-25.00,-10.00,37.00


-28.00,-9.00,42.00


-28.00,-9.00,42.00


-28.00,-9.00,42.00


-30.00,-8.00,50.00


-30.00,-8.00,50.00


-30.00,-8.00,50.00


-35.00,-12.00,61.00


-35.00,-12.00,61.00


-35.00,-12.00,61.00


-35.00,-12.00,61.00


-38.00,-7.00,61.00


-38.00,-7.00,61.00


-38.00,-7.00,61.00


-38.00,-10.00,59.00


-38.00,-10.00,59.00


-38.00,-10.00,59.00


-41.00,-12.00,62.00


-41.00,-12.00,62.00


-41.00,-12.00,62.00


-41.00,-12.00,62.00


-39.00,-9.00,57.00


-39.00,-9.00,57.00


-39.00,-9.00,57.00


-43.00,-9.00,66.00


-43.00,-9.00,66.00


-43.00,-9.00,66.00


-43.00,-9.00,66.00


-45.00,-5.00,63.00


-45.00,-5.00,63.00


-45.00,-5.00,63.00


-45.00,-9.00,69.00


-45.00,-9.00,69.00


-45.00,-9.00,69.00


-48.00,-7.00,69.00


-48.00,-7.00,69.00


-48.00,-7.00,69.00


-48.00,-7.00,69.00


-51.00,-8.00,68.00


-51.00,-8.00,68.00


-51.00,-8.00,68.00


-45.00,-8.00,69.00


-45.00,-8.00,69.00


-45.00,-8.00,69.00


-50.00,-7.00,69.00


-50.00,-7.00,69.00


-50.00,-7.00,69.00


-50.00,-7.00,69.00


-36.00,-8.00,50.00


-36.00,-8.00,50.00


-36.00,-8.00,50.00


-19.00,-11.00,42.00


-19.00,-11.00,42.00


-19.00,-11.00,42.00


-19.00,-11.00,42.00


-16.00,-13.00,36.00


-16.00,-13.00,36.00


-16.00,-13.00,36.00


-14.00,-14.00,31.00


-14.00,-14.00,31.00


-14.00,-14.00,31.00


-15.00,-12.00,36.00


-15.00,-12.00,36.00


-15.00,-12.00,36.00


-15.00,-12.00,36.00


-14.00,-13.00,34.00


-14.00,-13.00,34.00


-14.00,-13.00,34.00


-15.00,-10.00,38.00


-15.00,-10.00,38.00


-15.00,-10.00,38.00


-15.00,-11.00,40.00


-15.00,-11.00,40.00


-15.00,-11.00,40.00


-15.00,-11.00,40.00


-16.00,-12.00,43.00


-16.00,-12.00,43.00


-16.00,-12.00,43.00


-15.00,-12.00,44.00


-15.00,-12.00,44.00


-15.00,-12.00,44.00


-15.00,-12.00,44.00


-18.00,-12.00,40.00


-18.00,-12.00,40.00


-18.00,-12.00,40.00


-17.00,-11.00,43.00


-17.00,-11.00,43.00


-17.00,-11.00,43.00


-15.00,-12.00,48.00


-15.00,-12.00,48.00


-15.00,-12.00,48.00


-15.00,-12.00,48.00


-20.00,-14.00,61.00


-20.00,-14.00,61.00


-20.00,-14.00,61.00


-25.00,-18.00,61.00


-25.00,-18.00,61.00


-25.00,-18.00,61.00


-31.00,-22.00,71.00


-31.00,-22.00,71.00


-31.00,-22.00,71.00


-31.00,-22.00,71.00


-29.00,-22.00,64.00


-29.00,-22.00,64.00


-29.00,-22.00,64.00


-30.00,-23.00,67.00


-30.00,-23.00,67.00


-30.00,-23.00,67.00


-30.00,-23.00,67.00


-29.00,-28.00,65.00


-29.00,-28.00,65.00


-29.00,-28.00,65.00


-30.00,-25.00,66.00


-30.00,-25.00,66.00


-30.00,-25.00,66.00


-29.00,-29.00,68.00


-29.00,-29.00,68.00


-29.00,-29.00,68.00


-29.00,-29.00,68.00


-29.00,-25.00,72.00


-29.00,-25.00,72.00


-29.00,-25.00,72.00


-28.00,-27.00,66.00


-28.00,-27.00,66.00


-28.00,-27.00,66.00


-28.00,-29.00,64.00


-28.00,-29.00,64.00


-28.00,-29.00,64.00


-28.00,-29.00,64.00


-30.00,-33.00,66.00


-30.00,-33.00,66.00


-30.00,-33.00,66.00


-27.00,-28.00,62.00


-27.00,-28.00,62.00


-27.00,-28.00,62.00


-25.00,-29.00,63.00


-25.00,-29.00,63.00


-25.00,-29.00,63.00


-25.00,-29.00,63.00


-25.00,-26.00,62.00


-25.00,-26.00,62.00


-25.00,-26.00,62.00


-23.00,-22.00,47.00


-23.00,-22.00,47.00


-23.00,-22.00,47.00


-23.00,-22.00,47.00


-15.00,-17.00,33.00


-15.00,-17.00,33.00


-15.00,-17.00,33.00


-14.00,-15.00,31.00


-14.00,-15.00,31.00


-14.00,-15.00,31.00


-13.00,-12.00,28.00


-13.00,-12.00,28.00


-13.00,-12.00,28.00


-13.00,-12.00,28.00


-13.00,-9.00,30.00


-13.00,-9.00,30.00


-13.00,-9.00,30.00


-15.00,-9.00,22.00


-15.00,-9.00,22.00


-15.00,-9.00,22.00


-16.00,-10.00,27.00


-16.00,-10.00,27.00


-16.00,-10.00,27.00


-16.00,-10.00,27.00


-14.00,-11.00,29.00


-14.00,-11.00,29.00


-14.00,-11.00,29.00


-15.00,-8.00,28.00


-15.00,-8.00,28.00


-15.00,-8.00,28.00


-17.00,-14.00,27.00


-17.00,-14.00,27.00


-17.00,-14.00,27.00


-17.00,-14.00,27.00


-12.00,-8.00,28.00


-12.00,-8.00,28.00


-12.00,-8.00,28.00


-15.00,-9.00,30.00


-15.00,-9.00,30.00


-15.00,-9.00,30.00


-14.00,-8.00,30.00


-14.00,-8.00,30.00


-14.00,-8.00,30.00


-14.00,-8.00,30.00


-13.00,-9.00,26.00


-13.00,-9.00,26.00


-13.00,-9.00,26.00


-14.00,-6.00,27.00


-14.00,-6.00,27.00


-14.00,-6.00,27.00


-14.00,-6.00,27.00


-14.00,-9.00,25.00


-14.00,-9.00,25.00


-14.00,-9.00,25.00


-13.00,-7.00,31.00


-13.00,-7.00,31.00


-13.00,-7.00,31.00


-11.00,-8.00,29.00


-11.00,-8.00,29.00


-11.00,-8.00,29.00


-11.00,-8.00,29.00


-12.00,-8.00,34.00


-12.00,-8.00,34.00


-12.00,-8.00,34.00


-16.00,-5.00,34.00


-16.00,-5.00,34.00


-16.00,-5.00,34.00


-15.00,-5.00,36.00


-15.00,-5.00,36.00


-15.00,-5.00,36.00


-15.00,-5.00,36.00


-12.00,-3.00,35.00


-12.00,-3.00,35.00


-12.00,-3.00,35.00


-12.00,-4.00,37.00


-12.00,-4.00,37.00


-12.00,-4.00,37.00


-12.00,-4.00,37.00


-13.00,-1.00,37.00


-13.00,-1.00,37.00


-13.00,-1.00,37.00


-15.00,0.00,38.00


-15.00,0.00,38.00


-15.00,0.00,38.00


-16.00,-2.00,35.00


-16.00,-2.00,35.00


-16.00,-2.00,35.00


-16.00,-2.00,35.00


-7.00,-15.00,32.00


-7.00,-15.00,32.00


-7.00,-15.00,32.00


-2.00,-27.00,31.00


-2.00,-27.00,31.00


-2.00,-27.00,31.00


-2.00,-27.00,31.00


18.00,-45.00,8.00


18.00,-45.00,8.00


18.00,-45.00,8.00


53.00,-43.00,-66.00


53.00,-43.00,-66.00


53.00,-43.00,-66.00


92.00,41.00,-93.00


92.00,41.00,-93.00


92.00,41.00,-93.00


92.00,41.00,-93.00


183.00,132.00,-49.00


183.00,132.00,-49.00


183.00,132.00,-49.00


255.00,185.00,-1.00


255.00,185.00,-1.00


255.00,185.00,-1.00


263.00,202.00,12.00


263.00,202.00,12.00


263.00,202.00,12.00


263.00,202.00,12.00


256.00,198.00,46.00


256.00,198.00,46.00


256.00,198.00,46.00


251.00,205.00,45.00


251.00,205.00,45.00


251.00,205.00,45.00


251.00,206.00,42.00


251.00,206.00,42.00


251.00,206.00,42.00


251.00,206.00,42.00


253.00,207.00,39.00


253.00,207.00,39.00


253.00,207.00,39.00


252.00,207.00,42.00


252.00,207.00,42.00


252.00,207.00,42.00


252.00,207.00,42.00


250.00,207.00,37.00


250.00,207.00,37.00


250.00,207.00,37.00


249.00,209.00,40.00


249.00,209.00,40.00


249.00,209.00,40.00


248.00,209.00,41.00


248.00,209.00,41.00


248.00,209.00,41.00


248.00,209.00,41.00


249.00,205.00,43.00


249.00,205.00,43.00


249.00,205.00,43.00


250.00,208.00,43.00


250.00,208.00,43.00


250.00,208.00,43.00


250.00,208.00,43.00


249.00,205.00,42.00


249.00,205.00,42.00


249.00,205.00,42.00


251.00,206.00,39.00


251.00,206.00,39.00


251.00,206.00,39.00


251.00,210.00,44.00


251.00,210.00,44.00


251.00,210.00,44.00


251.00,210.00,44.00


247.00,207.00,40.00


247.00,207.00,40.00


247.00,207.00,40.00


248.00,205.00,46.00


248.00,205.00,46.00


248.00,205.00,46.00


246.00,201.00,48.00


246.00,201.00,48.00


246.00,201.00,48.00


246.00,201.00,48.00


245.00,194.00,56.00


245.00,194.00,56.00


245.00,194.00,56.00


253.00,191.00,64.00


253.00,191.00,64.00


253.00,191.00,64.00


253.00,191.00,64.00


266.00,185.00,50.00


266.00,185.00,50.00


266.00,185.00,50.00


278.00,175.00,51.00


278.00,175.00,51.00


278.00,175.00,51.00


319.00,159.00,38.00


319.00,159.00,38.00


319.00,159.00,38.00


319.00,159.00,38.00


327.00,74.00,-71.00


327.00,74.00,-71.00


327.00,74.00,-71.00


294.00,-57.00,-103.00


294.00,-57.00,-103.00


294.00,-57.00,-103.00


294.00,-57.00,-103.00


289.00,-159.00,-61.00


289.00,-159.00,-61.00


289.00,-159.00,-61.00


266.00,-214.00,3.00


266.00,-214.00,3.00


266.00,-214.00,3.00


234.00,-224.00,35.00


234.00,-224.00,35.00


234.00,-224.00,35.00


234.00,-224.00,35.00


146.00,-204.00,95.00


146.00,-204.00,95.00


146.00,-204.00,95.00


49.00,-94.00,126.00


49.00,-94.00,126.00


49.00,-94.00,126.00


26.00,-69.00,114.00


26.00,-69.00,114.00


26.00,-69.00,114.00


26.00,-69.00,114.00


28.00,-31.00,109.00


28.00,-31.00,109.00


28.00,-31.00,109.00


16.00,7.00,120.00


16.00,7.00,120.00


16.00,7.00,120.00


16.00,7.00,120.00


-16.00,45.00,117.00


-16.00,45.00,117.00


-16.00,45.00,117.00


-37.00,29.00,59.00


-37.00,29.00,59.00


-37.00,29.00,59.00


-21.00,18.00,44.00


-21.00,18.00,44.00


-21.00,18.00,44.00


-21.00,18.00,44.00


-22.00,15.00,35.00


-22.00,15.00,35.00


-22.00,15.00,35.00


-16.00,14.00,41.00


-16.00,14.00,41.00


-16.00,14.00,41.00


-11.00,17.00,37.00


-11.00,17.00,37.00


-11.00,17.00,37.00


-11.00,17.00,37.00


-15.00,16.00,42.00


-15.00,16.00,42.00


-15.00,16.00,42.00


-16.00,15.00,40.00


-16.00,15.00,40.00


-16.00,15.00,40.00


-16.00,15.00,40.00


-15.00,14.00,36.00


-15.00,14.00,36.00


-15.00,14.00,36.00


-17.00,16.00,38.00


-17.00,16.00,38.00


-17.00,16.00,38.00


-17.00,17.00,39.00


-17.00,17.00,39.00


-17.00,17.00,39.00


-17.00,17.00,39.00


-15.00,14.00,39.00


-15.00,14.00,39.00


-15.00,14.00,39.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,14.00,43.00


-16.00,16.00,40.00


-16.00,16.00,40.00


-16.00,16.00,40.00


-19.00,14.00,37.00


-19.00,14.00,37.00


-19.00,14.00,37.00


-19.00,14.00,37.00


-14.00,16.00,41.00


-14.00,16.00,41.00


-14.00,16.00,41.00


-17.00,16.00,39.00


-17.00,16.00,39.00


-17.00,16.00,39.00


-17.00,16.00,43.00


-17.00,16.00,43.00


-17.00,16.00,43.00


-17.00,16.00,43.00


-15.00,16.00,37.00


-15.00,16.00,37.00


-15.00,16.00,37.00


-17.00,14.00,45.00


-17.00,14.00,45.00


-17.00,14.00,45.00


-16.00,16.00,39.00


-16.00,16.00,39.00


-16.00,16.00,39.00


-16.00,16.00,39.00


-8.00,13.00,33.00


-8.00,13.00,33.00


-8.00,13.00,33.00


1.00,6.00,34.00


1.00,6.00,34.00


1.00,6.00,34.00


1.00,6.00,34.00


6.00,3.00,32.00


6.00,3.00,32.00


6.00,3.00,32.00


4.00,-4.00,30.00


4.00,-4.00,30.00


4.00,-4.00,30.00


2.00,-8.00,31.00


2.00,-8.00,31.00


2.00,-8.00,31.00


2.00,-8.00,31.00


4.00,-10.00,25.00


4.00,-10.00,25.00


4.00,-10.00,25.00


5.00,-13.00,24.00


5.00,-13.00,24.00


5.00,-13.00,24.00


6.00,-18.00,24.00


6.00,-18.00,24.00


6.00,-18.00,24.00


6.00,-18.00,24.00


1.00,-24.00,19.00


1.00,-24.00,19.00


1.00,-24.00,19.00


5.00,-30.00,14.00


5.00,-30.00,14.00


5.00,-30.00,14.00


1.00,-34.00,5.00


1.00,-34.00,5.00


1.00,-34.00,5.00


1.00,-34.00,5.00


-1.00,-37.00,1.00


-1.00,-37.00,1.00


-1.00,-37.00,1.00


0.00,-40.00,-18.00


0.00,-40.00,-18.00


0.00,-40.00,-18.00


0.00,-40.00,-18.00


0.00,-42.00,-25.00


0.00,-42.00,-25.00


0.00,-42.00,-25.00


1.00,-37.00,-40.00


1.00,-37.00,-40.00


1.00,-37.00,-40.00


0.00,-30.00,-54.00


0.00,-30.00,-54.00


0.00,-30.00,-54.00


0.00,-30.00,-54.00


-2.00,-22.00,-57.00


-2.00,-22.00,-57.00


-2.00,-22.00,-57.00


0.00,-8.00,-66.00


0.00,-8.00,-66.00


0.00,-8.00,-66.00


0.00,-3.00,-69.00


0.00,-3.00,-69.00


0.00,-3.00,-69.00


0.00,-3.00,-69.00


6.00,3.00,-62.00


6.00,3.00,-62.00


6.00,3.00,-62.00


13.00,12.00,-53.00


13.00,12.00,-53.00


13.00,12.00,-53.00


20.00,15.00,-46.00


20.00,15.00,-46.00


20.00,15.00,-46.00


20.00,15.00,-46.00


26.00,9.00,-27.00


26.00,9.00,-27.00


26.00,9.00,-27.00


28.00,10.00,-11.00


28.00,10.00,-11.00


28.00,10.00,-11.00


28.00,10.00,-11.00


27.00,7.00,-1.00


27.00,7.00,-1.00


27.00,7.00,-1.00


23.00,4.00,13.00


23.00,4.00,13.00


23.00,4.00,13.00


18.00,3.00,12.00


18.00,3.00,12.00


18.00,3.00,12.00


18.00,3.00,12.00


14.00,2.00,18.00


14.00,2.00,18.00


14.00,2.00,18.00


11.00,0.00,21.00


11.00,0.00,21.00


11.00,0.00,21.00


11.00,-3.00,23.00


11.00,-3.00,23.00


11.00,-3.00,23.00


11.00,-3.00,23.00


16.00,-3.00,19.00


16.00,-3.00,19.00


16.00,-3.00,19.00


18.00,-2.00,15.00


18.00,-2.00,15.00


18.00,-2.00,15.00


21.00,-6.00,0.00


21.00,-6.00,0.00


21.00,-6.00,0.00


21.00,-6.00,0.00


22.00,-8.00,-17.00


22.00,-8.00,-17.00


22.00,-8.00,-17.00


21.00,-8.00,-30.00


