IMU calibration complete.
IMU initialized successfully!
BARO sensor initialized!
Failed to initialize SD card.
SD card initialized successfully!
Ready to start!!
Waiting for button to start logging...
Button Pressed. logging starting...
Error opening file for logging.
magX,magY,magZ

-19.00,-11.00,28.00


-19.00,-11.00,28.00


-19.00,-8.00,28.00


-19.00,-8.00,28.00


-19.00,-8.00,28.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-9.00,30.00


-20.00,-10.00,31.00


-20.00,-10.00,31.00


-20.00,-10.00,31.00


-19.00,-10.00,28.00


-19.00,-10.00,28.00


-19.00,-10.00,28.00


-19.00,-10.00,28.00


-21.00,-12.00,32.00


-21.00,-12.00,32.00


-21.00,-12.00,32.00


-21.00,-14.00,28.00


-21.00,-14.00,28.00


-21.00,-14.00,28.00


-18.00,-9.00,31.00


-18.00,-9.00,31.00


-18.00,-9.00,31.00


-18.00,-9.00,31.00


-19.00,-10.00,32.00


-19.00,-10.00,32.00


-19.00,-10.00,32.00


-18.00,-9.00,31.00


-18.00,-9.00,31.00


-18.00,-9.00,31.00


-18.00,-10.00,29.00


-18.00,-10.00,29.00


-18.00,-10.00,29.00


-18.00,-10.00,29.00


-18.00,-11.00,29.00


-18.00,-11.00,29.00


-18.00,-11.00,29.00


-17.00,-11.00,30.00


-17.00,-11.00,30.00


-17.00,-11.00,30.00


-2.00,-8.00,29.00


-2.00,-8.00,29.00


-2.00,-8.00,29.00


-2.00,-8.00,29.00


0.00,-14.00,26.00


0.00,-14.00,26.00


0.00,-14.00,26.00


9.00,-16.00,20.00


9.00,-16.00,20.00


9.00,-16.00,20.00


9.00,-16.00,20.00


12.00,-19.00,13.00


12.00,-19.00,13.00


12.00,-19.00,13.00


14.00,-20.00,13.00


14.00,-20.00,13.00


14.00,-20.00,13.00


17.00,-21.00,12.00


17.00,-21.00,12.00


17.00,-21.00,12.00


17.00,-21.00,12.00


14.00,-24.00,11.00


14.00,-24.00,11.00


14.00,-24.00,11.00


8.00,-27.00,11.00


8.00,-27.00,11.00


8.00,-27.00,11.00


12.00,-38.00,8.00


12.00,-38.00,8.00


12.00,-38.00,8.00


12.00,-38.00,8.00


9.00,-45.00,3.00


9.00,-45.00,3.00


9.00,-45.00,3.00


3.00,-54.00,0.00


3.00,-54.00,0.00


3.00,-54.00,0.00


3.00,-54.00,0.00


3.00,-59.00,-1.00


3.00,-59.00,-1.00


3.00,-59.00,-1.00


1.00,-63.00,-13.00


1.00,-63.00,-13.00


1.00,-63.00,-13.00


-1.00,-64.00,-20.00


-1.00,-64.00,-20.00


-1.00,-64.00,-20.00


-1.00,-64.00,-20.00


-2.00,-67.00,-36.00


-2.00,-67.00,-36.00


-2.00,-67.00,-36.00


-4.00,-65.00,-34.00


-4.00,-65.00,-34.00


-4.00,-65.00,-34.00


-4.00,-65.00,-34.00


-5.00,-65.00,-38.00


-5.00,-65.00,-38.00


-5.00,-65.00,-38.00


-7.00,-63.00,-45.00


-7.00,-63.00,-45.00


-7.00,-63.00,-45.00


-3.00,-62.00,-48.00


-3.00,-62.00,-48.00


-3.00,-62.00,-48.00


-3.00,-62.00,-48.00


-6.00,-59.00,-62.00


-6.00,-59.00,-62.00


-6.00,-59.00,-62.00


-4.00,-52.00,-67.00


-4.00,-52.00,-67.00


-4.00,-52.00,-67.00


-6.00,-50.00,-71.00


-6.00,-50.00,-71.00


-6.00,-50.00,-71.00


-6.00,-50.00,-71.00


-6.00,-46.00,-74.00


-6.00,-46.00,-74.00


-6.00,-46.00,-74.00


-7.00,-40.00,-70.00


-7.00,-40.00,-70.00


-7.00,-40.00,-70.00


-7.00,-40.00,-70.00


-9.00,-36.00,-84.00


-9.00,-36.00,-84.00


-9.00,-36.00,-84.00


-12.00,-32.00,-82.00


-12.00,-32.00,-82.00


-12.00,-32.00,-82.00


-12.00,-23.00,-88.00


-12.00,-23.00,-88.00


-12.00,-23.00,-88.00


-12.00,-23.00,-88.00


-16.00,-15.00,-87.00


-16.00,-15.00,-87.00


-16.00,-15.00,-87.00


-14.00,-11.00,-85.00


-14.00,-11.00,-85.00


-14.00,-11.00,-85.00


-14.00,-11.00,-85.00


-19.00,-6.00,-88.00


-19.00,-6.00,-88.00


-19.00,-6.00,-88.00


-18.00,0.00,-88.00


-18.00,0.00,-88.00


-18.00,0.00,-88.00


-22.00,1.00,-87.00


-22.00,1.00,-87.00


-22.00,1.00,-87.00


-22.00,1.00,-87.00


-20.00,4.00,-86.00
