timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,latitude,longitude,gpsAltitude,Speed,SatCount,roll,pitch,yaw,pressure,temperature,paltitude
118035,0.00,-0.00,1.00,0.00,-0.24,-0.06,-17.00,-6.00,47.00,53.650921,9.698256,5.90,0.20,12,3.960,0,4,-1,8,1
120400,-0.00,-0.00,1.00,-0.12,0.00,-0.12,-12.00,-5.00,42.00,53.650921,9.698256,5.90,0.20,12,3.950,0,5,-1,8,1
120502,0.02,0.13,0.97,-1.04,-0.73,7.87,-19.00,-4.00,45.00,53.650917,9.698243,5.70,0.63,12,3.990,0,9,-1,8,1
120602,0.01,0.00,1.00,-0.12,0.00,-0.24,-13.00,-3.00,45.00,53.650917,9.698243,5.70,0.63,12,3.940,0,14,-1,8,1
120702,-0.00,-0.01,1.00,0.00,0.06,-1.16,-16.00,-7.00,40.00,53.650917,9.698243,5.70,0.63,12,3.890,0,23,-1,8,1
120802,-0.00,-0.00,1.00,0.06,-0.37,-1.40,-13.00,-4.00,44.00,53.650917,9.698243,5.70,0.63,12,3.860,0,46,-1,8,1
120902,-0.01,-0.00,1.00,0.12,0.12,0.49,-11.00,-6.00,44.00,53.650917,9.698243,5.70,0.63,12,3.920,0,82,-1,8,1
121002,0.00,-0.01,1.00,-0.06,0.24,0.31,-10.00,-4.00,45.00,53.650917,9.698243,5.70,0.63,12,3.920,0,126,-1,8,1
121102,0.01,0.00,1.01,-0.06,0.37,0.12,-13.00,-3.00,43.00,53.650917,9.698243,5.70,0.63,12,3.860,0,163,-1,8,1
121202,-0.00,0.01,1.00,0.06,-0.24,-0.24,-18.00,-5.00,43.00,53.650917,9.698243,5.70,0.63,12,3.930,0,183,-1,8,1
121302,0.01,-0.00,1.00,0.06,-0.55,-0.18,-16.00,-4.00,51.00,53.650917,9.698243,5.70,0.63,12,3.900,0,190,-1,8,1
121407,-0.01,0.00,1.00,-0.06,-0.06,-0.06,-7.00,-2.00,44.00,53.650917,9.698243,5.70,0.63,12,3.900,0,186,-1,8,1
121507,-0.00,0.00,1.00,0.18,0.55,0.06,-20.00,-4.00,44.00,53.650917,9.698245,5.70,0.28,12,3.860,0,182,-1,8,1
121607,-0.02,-0.00,0.96,0.24,1.34,0.24,-10.00,-3.00,39.00,53.650917,9.698245,5.70,0.20,12,3.810,-1,174,-1,8,1
121707,0.01,-0.00,0.99,0.06,0.00,-0.12,-10.00,-5.00,47.00,53.650917,9.698245,5.70,0.20,12,3.930,0,161,-1,8,1
121807,0.00,0.00,1.01,-0.06,-0.12,-0.49,-12.00,-4.00,45.00,53.650917,9.698245,5.70,0.20,12,3.890,0,158,-1,8,1
121907,-0.01,-0.00,1.00,0.06,-0.12,-0.06,-13.00,-4.00,44.00,53.650917,9.698245,5.70,0.20,12,3.930,0,159,-1,8,1
122007,-0.00,-0.00,1.00,-0.06,0.49,0.31,-15.00,-4.00,46.00,53.650917,9.698245,5.70,0.20,12,3.950,0,162,-1,8,1
122107,-0.00,0.01,1.00,0.00,0.31,0.18,-12.00,-3.00,42.00,53.650917,9.698245,5.70,0.20,12,3.900,0,166,-1,8,1
122208,0.01,-0.01,1.00,0.06,-0.12,-0.12,-10.00,-5.00,46.00,53.650917,9.698245,5.70,0.20,12,3.810,0,156,-1,8,1
122308,-0.00,-0.00,1.00,-0.12,-0.43,-0.37,-13.00,-6.00,42.00,53.650917,9.698245,5.70,0.20,12,3.850,0,153,-1,8,1
122408,-0.00,0.01,1.00,0.06,-0.31,-0.12,-13.00,-2.00,40.00,53.650917,9.698245,5.70,0.20,12,3.880,0,166,-1,8,1
122551,0.00,-0.02,1.01,0.00,0.55,0.12,-17.00,-5.00,39.00,53.650917,9.698245,5.70,0.09,12,3.940,0,165,-1,8,1
122652,-0.00,0.00,0.99,-0.12,-0.12,0.06,-11.00,-5.00,42.00,53.650917,9.698245,5.70,0.09,12,3.900,0,157,-1,8,1
122752,0.00,0.00,1.00,0.00,-0.49,-0.06,-13.00,-3.00,44.00,53.650917,9.698246,5.70,0.06,12,3.870,0,164,-1,8,1
122854,-0.00,-0.00,1.00,0.12,0.00,-0.12,-14.00,-5.00,43.00,53.650917,9.698246,5.70,0.06,12,3.820,0,161,-1,8,1
122954,-0.00,0.00,1.00,0.12,0.31,0.06,-12.00,-3.00,50.00,53.650917,9.698246,5.70,0.19,12,3.910,0,165,-1,8,1
123054,0.00,-0.00,1.00,0.06,0.06,0.12,-15.00,-4.00,45.00,53.650917,9.698246,5.70,0.15,12,3.950,0,165,-1,8,1
123154,-0.00,-0.00,1.00,-0.06,0.37,0.00,-13.00,-2.00,42.00,53.650917,9.698246,5.70,0.17,12,3.830,0,169,-1,8,1
123254,0.00,0.00,1.00,0.06,0.18,0.00,-11.00,-4.00,44.00,53.650917,9.698246,5.70,0.17,12,3.870,0,162,-1,8,1
123354,0.01,-0.00,1.01,0.06,0.00,0.00,-16.00,-4.00,45.00,53.650917,9.698246,5.70,0.17,12,3.890,0,164,-1,8,1
123454,-0.00,-0.00,1.00,0.00,0.31,-0.18,-10.00,-4.00,47.00,53.650917,9.698246,5.70,0.17,12,3.820,0,158,-1,8,1
123560,-0.00,0.00,1.01,0.00,-0.12,-0.12,-14.00,-7.00,44.00,53.650917,9.698246,5.70,0.17,12,3.840,0,153,-1,8,1
123660,0.01,-0.00,1.03,0.24,0.43,-0.06,-12.00,-4.00,42.00,53.650917,9.698246,5.70,0.17,12,3.940,0,160,-1,8,1
123760,0.01,0.00,1.00,-0.37,-1.46,-0.12,-14.00,-5.00,49.00,53.650917,9.698246,5.70,0.17,12,3.940,1,159,-1,8,1
123860,0.01,0.01,1.01,0.06,-0.31,-0.31,-13.00,-5.00,46.00,53.650917,9.698246,5.70,0.17,12,3.960,0,160,-1,8,1
123960,-0.01,-0.01,0.99,0.06,-0.06,-0.18,-13.00,-3.00,45.00,53.650917,9.698246,5.80,0.17,12,3.930,0,165,-1,8,1
124060,-0.01,0.00,1.00,-0.12,0.00,0.06,-15.00,-4.00,42.00,53.650917,9.698246,5.70,0.17,12,3.880,0,165,-1,8,1
124160,0.00,0.01,1.00,0.12,0.06,0.24,-18.00,-4.00,43.00,53.650917,9.698246,5.80,0.17,12,3.900,0,168,-1,8,1
124262,0.00,-0.01,1.00,0.06,-0.06,-0.18,-19.00,-2.00,47.00,53.650917,9.698246,5.80,0.07,12,3.920,0,172,-1,8,1
124362,-0.00,-0.00,1.00,-0.12,-0.18,-0.31,-11.00,-5.00,46.00,53.650917,9.698246,5.80,0.09,12,3.850,0,156,-1,8,1
124462,-0.01,0.01,1.00,0.06,0.18,0.00,-15.00,-3.00,43.00,53.650917,9.698246,5.80,0.09,12,3.900,0,168,-1,8,1
124562,0.00,-0.01,1.00,-0.06,0.12,0.18,-13.00,-4.00,40.00,53.650917,9.698246,5.80,0.09,12,3.880,0,163,-1,8,1
124662,0.00,0.00,1.00,-0.18,0.00,-0.06,-13.00,-2.00,50.00,53.650917,9.698246,5.80,0.09,12,3.830,0,169,-1,8,1
124762,-0.00,0.00,1.00,0.06,-0.24,-0.18,-13.00,-5.00,44.00,53.650917,9.698246,5.80,0.09,12,3.910,0,160,-1,8,1
124862,-0.00,-0.00,1.00,0.12,-0.06,-0.18,-15.00,-4.00,43.00,53.650917,9.698246,5.80,0.09,12,3.910,0,164,-1,8,1
124962,-0.00,-0.00,1.00,0.00,0.18,0.18,-13.00,-5.00,44.00,53.650917,9.698246,5.80,0.09,12,3.860,0,159,-1,8,1
125062,0.00,0.01,1.00,0.06,0.00,0.12,-15.00,-2.00,41.00,53.650917,9.698246,5.80,0.54,12,3.900,0,172,-1,8,1
125162,0.00,-0.00,1.00,0.06,0.06,-0.06,-12.00,-4.00,42.00,53.650917,9.698247,5.80,0.35,12,3.920,0,162,-1,8,1
125262,-0.00,-0.00,1.00,0.00,-0.12,-0.18,-12.00,-4.00,45.00,53.650917,9.698247,5.80,0.35,12,3.860,0,160,-1,8,1
125362,-0.00,0.00,1.00,0.00,-0.18,-0.12,-15.00,-5.00,45.00,53.650917,9.698247,5.80,0.35,12,3.920,0,162,-1,8,1
125462,-0.00,-0.00,1.00,0.00,0.12,0.06,-16.00,-4.00,40.00,53.650917,9.698247,5.80,0.35,12,3.930,0,165,-1,8,1
125562,0.00,-0.00,1.00,0.00,0.06,0.12,-18.00,-5.00,44.00,53.650917,9.698247,5.80,0.35,12,3.920,0,164,-1,8,1
125662,0.00,0.00,1.00,0.06,-0.06,-0.12,-13.00,-5.00,47.00,53.650917,9.698247,5.80,0.35,12,4.020,0,159,-1,8,1
125762,-0.00,-0.00,1.00,0.12,-0.06,-0.18,-18.00,-5.00,41.00,53.650917,9.698247,5.80,0.35,12,3.930,0,163,-1,8,1
125862,-0.00,0.00,1.00,0.06,0.00,0.12,-13.00,-4.00,46.00,53.650917,9.698248,5.80,0.35,12,3.920,0,163,-1,8,1
125962,-0.00,-0.00,1.00,0.12,0.00,0.00,-18.00,-4.00,37.00,53.650917,9.698248,5.80,0.35,12,3.900,0,167,-1,8,1
126062,0.01,0.00,1.01,0.00,-0.12,-0.18,-16.00,-4.00,46.00,53.650917,9.698248,5.80,0.19,12,3.940,0,165,-1,8,1
126162,-0.00,0.00,1.00,0.00,-0.12,-0.12,-11.00,-3.00,48.00,53.650917,9.698248,5.80,0.19,12,3.860,0,165,-1,8,1
126262,-0.00,-0.00,1.00,0.00,0.24,-0.06,-12.00,-5.00,38.00,53.650917,9.698248,5.80,0.13,12,3.940,0,157,-1,8,1
126362,0.00,-0.01,1.00,-0.49,-0.79,-0.24,-13.00,-5.00,45.00,53.650917,9.698247,5.80,1.06,12,3.900,0,156,-1,8,1
126462,-0.00,-0.01,1.01,-0.24,-0.73,-3.23,-14.00,-4.00,38.00,53.650917,9.698247,5.80,1.06,12,3.900,0,162,-1,8,1
126562,-0.01,0.01,1.00,-0.43,-0.79,-0.31,-13.00,-3.00,39.00,53.650917,9.698247,5.80,1.06,12,3.930,0,168,-1,8,1
126672,-0.00,0.00,1.00,-0.06,-0.12,0.12,-15.00,-5.00,40.00,53.650917,9.698247,5.80,1.06,12,3.920,0,162,-1,8,1
126772,-0.00,0.01,0.98,-0.61,-0.67,0.00,-11.00,-7.00,49.00,53.650917,9.698247,5.80,1.06,12,3.920,0,148,-1,8,1
126906,-0.00,0.01,0.99,0.18,-0.06,-0.67,-10.00,-7.00,45.00,53.650917,9.698247,5.80,1.06,12,3.920,0,146,-1,8,1
127006,-0.02,0.01,0.99,0.12,-0.18,-0.61,-13.00,-2.00,42.00,53.650917,9.698247,5.80,1.06,12,3.870,0,172,-1,8,1
127106,-0.01,0.00,1.01,1.40,1.53,-0.24,-13.00,-2.00,44.00,53.650917,9.698247,5.80,1.06,12,3.870,0,173,-1,8,1
127206,-0.01,-0.00,1.00,0.43,0.55,0.24,-18.00,-7.00,45.00,53.650917,9.698247,5.80,1.06,12,3.850,0,159,-1,8,1
127306,-0.01,0.01,0.99,0.00,0.06,0.24,-10.00,-4.00,42.00,53.650917,9.698247,5.80,1.06,12,3.890,0,158,-1,8,1
127409,0.00,0.00,1.00,0.37,0.31,0.00,-13.00,-4.00,43.00,53.650917,9.698247,5.80,1.06,12,3.870,0,163,-1,8,1
127509,-0.01,-0.00,1.00,-0.12,0.06,-0.06,-11.00,-3.00,45.00,53.650917,9.698247,5.80,1.06,12,3.900,0,163,-1,8,1
127609,-0.00,0.00,1.00,-0.24,-0.43,0.00,-17.00,-2.00,44.00,53.650917,9.698247,5.80,1.06,12,3.890,0,173,-1,8,1
127709,-0.01,0.01,1.00,-0.12,-0.24,-0.06,-13.00,-4.00,43.00,53.650917,9.698247,5.80,1.06,12,3.850,0,164,-1,8,1
127809,-0.01,-0.00,0.99,0.61,0.55,-0.12,-12.00,-4.00,40.00,53.650917,9.698247,5.80,1.06,12,3.940,0,162,-1,8,1
127910,-0.01,-0.00,1.01,0.24,0.24,0.00,-10.00,-3.00,44.00,53.650917,9.698247,5.80,1.06,12,3.940,0,162,-1,8,1
128010,-0.01,0.00,1.00,0.12,0.31,0.31,-11.00,-5.00,45.00,53.650917,9.698247,5.80,1.06,12,3.920,0,156,-2,8,1
128110,-0.00,-0.00,0.99,-0.43,-0.06,0.18,-13.00,-5.00,44.00,53.650917,9.698247,5.80,1.06,12,3.940,0,158,-1,8,1
128210,0.00,-0.00,1.00,0.37,0.18,-0.12,-17.00,-3.00,43.00,53.650917,9.698247,5.80,1.06,12,3.950,0,169,-1,8,1
128310,-0.00,0.01,1.00,1.04,0.73,-0.37,-14.00,-5.00,46.00,53.650917,9.698247,5.80,1.06,12,3.940,0,162,-1,8,1
128410,-0.01,0.00,1.00,0.00,0.00,-0.06,-19.00,-3.00,46.00,53.650917,9.698247,5.80,1.06,12,3.940,0,170,-1,8,1
128511,-0.01,-0.00,0.98,-0.43,-0.31,0.24,-13.00,-4.00,42.00,53.650917,9.698245,5.80,0.43,12,3.940,0,163,-1,8,1
128611,-0.00,0.01,0.99,0.49,0.55,0.18,-14.00,-5.00,43.00,53.650917,9.698245,5.80,0.43,12,3.820,0,161,-1,8,1
128711,-0.00,0.01,0.98,0.92,0.92,-0.12,-13.00,-4.00,45.00,53.650917,9.698245,5.80,0.43,12,3.870,0,164,-1,8,1
128812,-0.01,0.00,0.98,-0.24,-0.37,0.00,-12.00,-4.00,44.00,53.650917,9.698245,5.80,0.43,12,3.880,0,162,-1,8,1
128912,-0.00,0.01,0.97,-0.31,0.12,0.12,-10.00,-3.00,40.00,53.650917,9.698245,5.80,0.43,12,3.890,0,164,-1,8,1
129012,0.00,0.00,1.00,-0.12,-0.31,0.06,-12.00,-3.00,43.00,53.650917,9.698245,5.80,0.43,12,3.920,0,166,-1,8,1
129112,0.00,-0.00,1.00,0.06,0.12,-0.43,-15.00,-6.00,41.00,53.650917,9.698245,5.80,0.43,12,3.780,0,157,-1,8,1
129213,0.00,0.00,1.00,-0.12,-0.37,-0.24,-18.00,-2.00,42.00,53.650917,9.698245,5.80,0.43,12,3.900,0,173,-1,8,1
129313,-0.01,0.01,0.99,0.37,0.43,0.43,-18.00,-2.00,45.00,53.650917,9.698245,5.80,0.43,12,3.930,0,175,-1,8,1
129413,-0.01,-0.04,1.01,-1.46,-1.16,-1.40,-14.00,-6.00,44.00,53.650917,9.698245,5.80,0.43,12,3.922,0,150,-1,8,1
129513,0.01,0.02,1.01,-0.79,-0.49,0.06,-12.00,-4.00,44.00,53.650917,9.698245,5.60,0.43,12,3.90-1,0,164,-1,8,1
129613,0.00,0.00,1.01,-0.67,-1.04,0.61,-12.00,-5.00,43.00,53.650917,9.698245,5.60,0.11,12,3.900,0,158,-1,8,1
129713,-0.00,-0.02,1.00,-0.49,-0.43,0.31,-11.00,-3.00,43.00,53.650917,9.698245,5.60,0.11,12,3.920,0,161,-1,8,1
129813,-0.00,0.01,0.99,0.00,0.43,0.24,-15.00,-4.00,43.00,53.650917,9.698245,5.60,0.11,12,3.860,0,166,-1,8,1
129913,0.00,0.01,1.00,0.06,0.24,0.12,-15.00,-4.00,38.00,53.650917,9.698245,5.60,0.11,12,3.910,0,166,-1,8,1
130013,0.00,-0.01,1.00,0.06,-0.49,-0.18,-11.00,-3.00,45.00,53.650917,9.698245,5.60,0.11,12,3.880,0,162,-1,8,1
130115,-0.00,-0.00,1.00,-0.12,-0.43,-0.31,-13.00,-3.00,45.00,53.650917,9.698245,5.60,0.11,12,3.850,0,166,-1,8,1
130219,-0.01,0.01,1.00,0.06,0.24,-0.06,-10.00,-4.00,47.00,53.650917,9.698245,5.60,0.11,12,3.870,0,161,-1,8,1
130319,0.00,-0.01,1.00,0.06,0.31,0.31,-19.00,-3.00,45.00,53.650917,9.698245,5.60,0.11,12,3.930,0,169,-1,8,1
130419,0.01,-0.00,1.00,-0.12,0.06,0.12,-13.00,-3.00,45.00,53.650917,9.698245,5.60,0.11,12,3.940,0,166,-1,8,1
130527,-0.00,0.01,1.00,0.12,-0.12,-0.37,-12.00,-4.00,47.00,53.650917,9.698245,5.60,0.11,12,3.870,0,162,-2,8,1
130627,-0.00,-0.01,1.00,0.00,-0.18,-0.18,-12.00,-4.00,43.00,53.650917,9.698245,5.60,0.11,12,3.920,0,160,-1,8,1
130730,-0.01,0.00,1.00,-0.06,0.00,0.06,-20.00,-2.00,36.00,53.650917,9.698246,5.60,0.93,12,3.890,0,174,-1,8,1
130834,0.00,0.00,1.00,0.12,0.12,0.06,-13.00,-4.00,42.00,53.650917,9.698246,5.60,0.93,12,3.850,0,163,-1,8,1
130934,0.00,-0.00,1.00,0.00,0.00,-0.12,-19.00,-4.00,40.00,53.650917,9.698246,5.60,0.93,12,3.920,0,167,-1,8,1
131034,-0.00,0.00,1.00,0.00,-0.24,0.00,-16.00,-6.00,46.00,53.650917,9.698246,5.60,0.93,12,3.930,0,159,-1,8,1
131134,-0.00,0.00,1.00,0.00,-0.06,0.00,-12.00,-5.00,47.00,53.650917,9.698246,5.60,0.93,12,3.930,0,157,-1,8,1
131234,-0.00,-0.00,1.00,0.00,0.12,-0.06,-12.00,-4.00,48.00,53.650917,9.698246,5.60,0.93,12,3.930,0,161,-2,8,1
131344,-0.00,0.00,1.00,0.00,-0.06,-0.06,-17.00,-3.00,45.00,53.650917,9.698246,5.60,0.93,12,3.810,0,170,-1,8,1
131444,-0.00,0.00,1.00,0.00,0.00,-0.06,-16.00,-5.00,39.00,53.650917,9.698246,5.60,0.93,12,3.820,0,162,-1,8,1
131544,-0.01,-0.00,1.00,0.06,0.31,0.06,-9.00,-6.00,47.00,53.650917,9.698246,5.60,0.93,12,3.820,0,147,-2,8,1
131644,-0.00,-0.00,1.00,0.00,0.43,0.24,-12.00,-5.00,45.00,53.650917,9.698246,5.60,0.93,12,3.910,0,157,-1,8,1
131744,0.01,0.00,1.00,0.12,0.12,0.12,-13.00,-2.00,49.00,53.650917,9.698246,5.60,0.93,12,3.850,0,171,-2,8,1
131846,0.01,0.00,1.00,0.00,-0.49,-0.37,-12.00,-5.00,47.00,53.650917,9.698246,5.60,0.33,12,3.940,0,157,-1,8,1
131946,-0.01,-0.00,1.00,-0.06,-0.37,-0.37,-18.00,-4.00,44.00,53.650917,9.698246,5.60,0.33,12,3.880,0,167,-1,8,1
132046,-0.00,0.00,1.00,-0.06,0.31,0.24,-13.00,-4.00,45.00,53.650917,9.698246,5.60,0.33,12,3.800,0,163,-1,8,1
132147,0.00,0.00,1.00,0.00,-0.12,0.31,-11.00,-4.00,43.00,53.650917,9.698246,5.60,0.33,12,3.940,0,160,-1,8,1
132247,0.01,-0.01,1.00,0.06,-0.12,-0.12,-10.00,-6.00,44.00,53.650917,9.698245,5.60,0.22,12,3.960,0,147,-1,8,1
132347,-0.00,0.00,1.00,0.00,-0.24,-0.37,-15.00,-3.00,43.00,53.650917,9.698245,5.60,0.22,12,3.870,0,168,-1,8,1
132465,-0.01,-0.00,1.00,0.12,-0.12,-0.12,-12.00,-5.00,41.00,53.650917,9.698245,5.60,0.22,12,3.740,0,158,-1,8,1
132566,-0.01,-0.00,1.00,0.06,0.49,0.49,-13.00,-4.00,42.00,53.650917,9.698245,5.60,0.22,12,3.910,0,163,-1,8,1
132666,0.01,-0.00,1.00,-0.06,0.49,0.12,-19.00,-4.00,39.00,53.650917,9.698245,5.60,0.22,12,3.790,0,167,-1,8,1
132771,0.01,-0.00,1.00,0.00,-0.55,-0.43,-15.00,-4.00,47.00,53.650917,9.698245,5.60,0.22,12,3.870,0,164,-2,8,1
