timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,latitude,longitude,gpsAltitude,Speed,SatCount,roll,pitch,yaw,pressure,temperature,paltitude
181026,-0.02,0.07,1.05,26.18,-30.88,-9.22,-5.50,0.00,39.00,53.650921,9.698076,8.70,0.30,12,4.153,1,-13,-4,6,2
183456,-0.18,0.05,0.88,11.17,-2.08,-5.31,1.50,-2.00,27.00,53.650921,9.698076,8.70,0.30,12,4.072,1,-13,-4,6,2
183560,-0.17,0.07,1.00,1.16,1.83,-2.44,-1.50,3.00,30.00,53.650917,9.698082,7.70,0.30,12,4.102,0,-15,-4,6,2
183660,-0.10,0.02,1.07,0.18,-6.04,1.53,-9.50,3.00,37.00,53.650917,9.698082,7.70,0.17,12,3.911,2,-19,-4,6,2
183760,-0.18,0.03,0.98,0.18,1.28,-1.59,-8.50,-3.00,41.00,53.650917,9.698082,7.70,0.17,12,4.071,1,-10,-4,6,2
183860,-0.15,0.03,0.98,-1.04,-1.71,-0.98,-7.50,-1.00,41.00,53.650917,9.698082,7.80,0.07,12,3.801,0,14,-4,6,2
183961,-0.15,0.05,1.03,0.37,9.64,1.28,-6.50,-1.00,36.00,53.650917,9.698082,7.80,0.06,12,3.900,-6,62,-4,6,2
184061,-0.14,0.05,0.95,-1.10,-0.67,2.38,-4.50,-1.00,29.00,53.650917,9.698082,7.80,0.06,12,4.02-1,-7,123,-4,6,2
184161,-0.13,0.03,0.99,2.08,8.24,-3.36,-4.50,1.00,36.00,53.650917,9.698083,7.80,0.09,12,4.09-3,-12,14,-4,6,2
184262,-0.21,0.10,0.97,3.72,3.11,-16.78,-5.50,2.00,35.00,53.650917,9.698083,7.80,0.02,12,4.07-6,-13,-85,-4,6,2
184362,-0.10,0.05,1.07,-6.71,-14.22,19.23,-5.50,-1.00,31.00,53.650917,9.698083,7.80,0.02,12,3.69-1,-2,50,-4,6,2
184469,-0.12,-0.04,0.95,-2.32,1.95,1.53,-5.50,3.00,32.00,53.650917,9.698083,7.80,0.11,12,4.011,-6,-64,-4,6,2
184569,-0.11,-0.09,1.01,3.23,1.10,-18.01,-5.50,1.00,27.00,53.650917,9.698083,7.80,0.11,12,4.011,-7,-157,-4,6,2
184669,-0.21,0.05,0.96,-0.37,1.40,-0.61,-4.50,3.00,32.00,53.650917,9.698083,7.80,0.11,12,4.060,-11,-181,-4,6,2
184769,-0.16,0.05,0.89,5.07,14.83,-6.16,-4.50,1.00,32.00,53.650917,9.698083,7.80,0.11,12,3.98-5,-18,-190,-4,6,2
184869,-0.06,-0.00,0.98,0.00,-6.29,9.52,-5.50,0.00,34.00,53.650917,9.698083,7.80,0.11,12,3.99-1,-3,-183,-4,6,2
184969,0.09,0.05,0.82,42.97,-26.25,-20.26,-5.50,-1.00,28.00,53.650917,9.698083,7.80,0.11,12,4.07-23,18,-120,-4,6,2
185069,-0.06,-0.27,0.99,-11.05,19.17,-62.93,-11.50,4.00,34.00,53.650917,9.698083,7.80,0.06,12,4.1517,-9,60,-4,6,2
185169,-0.14,-0.03,1.03,2.08,9.40,2.99,-11.50,5.00,27.00,53.650917,9.698083,7.80,0.30,12,3.9012,-13,199,-4,6,2
185269,-0.15,-0.06,0.95,-0.12,-5.80,0.61,-10.50,4.00,30.00,53.650917,9.698083,7.80,0.30,12,4.088,-5,226,-4,6,2
185369,-0.15,-0.08,1.04,1.34,-3.54,-2.75,-10.50,4.00,27.00,53.650917,9.698083,7.90,0.30,12,4.035,-5,-54,-4,6,2
185469,-0.19,-0.04,0.92,-0.12,-0.79,-20.57,-11.50,5.00,27.00,53.650917,9.698083,7.90,0.30,12,3.873,-10,-182,-4,6,2
185634,-0.14,-0.02,1.00,2.75,7.63,-15.87,-11.50,4.00,33.00,53.650917,9.698083,7.90,0.30,12,3.850,-13,-202,-4,6,2
185734,-0.17,-0.04,0.96,-0.43,-1.04,0.98,-12.50,5.00,27.00,53.650917,9.698083,7.90,0.30,12,3.832,-8,-179,-4,6,2
185834,-0.17,-0.03,0.96,0.73,3.97,-1.22,-13.50,3.00,31.00,53.650917,9.698082,7.90,0.26,12,3.851,-11,-174,-4,6,2
185934,-0.09,-0.13,1.02,0.55,10.13,-21.06,-12.50,4.00,29.00,53.650917,9.698082,7.90,0.17,12,4.056,-9,-184,-4,6,2
186034,-0.13,0.02,0.97,1.34,8.85,-40.83,-13.50,3.00,29.00,53.650917,9.698082,7.90,0.17,12,4.020,-8,-185,-4,6,2
186134,-0.15,-0.10,1.01,3.36,7.02,-0.55,-12.50,4.00,31.00,53.650917,9.698082,7.90,0.17,12,3.903,-7,-159,-4,6,2
186234,-0.12,-0.01,1.04,3.60,9.58,-0.98,-14.50,2.00,28.00,53.650917,9.698082,7.90,0.17,12,3.990,-7,-165,-4,6,2
186334,-0.19,-0.06,0.87,-0.37,-3.17,0.73,-12.50,4.00,28.00,53.650917,9.698082,7.90,0.17,12,3.994,-6,-170,-4,6,2
186435,0.01,-0.06,0.96,2.62,-5.37,-25.76,-13.50,1.00,25.00,53.650917,9.698082,7.90,0.19,12,4.093,2,117,-4,6,2
186535,-0.13,-0.01,0.99,0.12,-1.28,-0.12,-12.50,2.00,31.00,53.650917,9.698082,7.90,0.19,12,3.751,-6,-100,-4,6,2
186635,-0.14,-0.02,0.99,-1.28,1.77,0.24,-11.50,4.00,27.00,53.650917,9.698082,7.90,0.13,12,3.771,-9,-172,-4,6,2
186735,-0.11,-0.02,0.98,1.28,-0.24,-0.49,-11.50,4.00,28.00,53.650917,9.698082,7.90,0.17,12,4.090,-6,-176,-4,6,2
186835,-0.20,-0.03,0.97,0.98,1.04,-17.03,-13.50,5.00,32.00,53.650917,9.698082,7.90,0.17,12,4.081,-11,-177,-4,6,2
186935,-0.14,-0.13,1.00,2.32,-3.66,1.40,-13.50,3.00,32.00,53.650917,9.698082,7.90,0.06,12,4.086,-6,145,-4,6,2
187035,-0.15,-0.01,0.89,-3.54,5.13,1.04,-14.50,5.00,33.00,53.650917,9.698082,7.90,0.06,12,4.073,-11,-110,-4,6,2
187135,-0.13,-0.01,0.98,-2.81,4.27,-0.37,-12.50,3.00,25.00,53.650917,9.698082,7.90,0.06,12,3.971,-8,-180,-4,6,2
187235,-0.08,-0.03,1.05,2.87,-2.38,-0.31,-10.50,4.00,32.00,53.650917,9.698082,7.90,0.06,12,4.000,-2,-169,-4,6,2
187335,-0.12,-0.01,1.03,2.01,-2.87,-1.28,-13.50,3.00,28.00,53.650917,9.698082,7.90,0.09,12,4.080,-5,-170,-4,6,2
187435,-0.22,0.03,0.86,12.39,1.83,-5.43,-12.50,5.00,31.00,53.650917,9.698082,7.90,0.09,12,4.00-5,-15,-162,-4,6,2
187535,-0.08,-0.02,0.95,-1.83,1.34,0.06,-11.50,3.00,31.00,53.650917,9.698082,8.00,0.13,12,4.074,-6,-174,-4,6,2
187635,-0.11,0.07,0.93,4.33,0.55,-32.10,-12.50,4.00,31.00,53.650921,9.698082,8.00,0.09,12,4.01-4,-6,-170,-4,6,2
187735,-0.10,0.02,0.96,0.12,1.59,1.10,-14.50,6.00,28.00,53.650921,9.698082,8.00,0.04,12,4.070,-6,-151,-4,6,2
187835,-0.09,-0.01,1.03,-0.79,-8.00,3.17,-11.50,2.00,27.00,53.650921,9.698082,8.00,0.13,12,4.081,-1,-168,-4,6,2
187935,-0.12,-0.01,1.07,0.06,-3.23,-3.60,-12.50,4.00,29.00,53.650921,9.698082,8.00,0.09,12,4.100,-6,-169,-4,6,2
188035,-0.15,0.01,0.91,2.08,-14.40,2.50,-11.50,6.00,29.00,53.650921,9.698082,8.00,0.09,12,4.08-1,-6,-154,-4,6,2
188135,-0.20,-0.01,0.89,3.17,10.31,1.83,-12.50,3.00,29.00,53.650921,9.698082,8.00,0.09,12,4.070,-19,-170,-4,6,2
188235,-0.09,-0.02,0.97,-1.40,0.98,1.16,-12.50,5.00,27.00,53.650921,9.698082,8.00,0.07,12,4.002,-4,-166,-4,6,2
188335,-0.16,-0.02,1.06,0.24,2.08,0.37,-12.50,4.00,30.00,53.650921,9.698082,8.00,0.11,12,4.031,-7,-168,-4,6,2
188435,-0.12,-0.01,1.00,0.06,0.61,-0.06,-12.50,3.00,31.00,53.650921,9.698082,8.00,0.30,12,4.070,-6,-170,-4,6,2
188535,-0.14,-0.01,0.94,-1.59,0.67,0.79,-14.50,4.00,28.00,53.650921,9.698082,8.10,0.22,12,4.021,-8,-169,-4,6,2
188635,-0.14,-0.01,0.97,-3.36,3.17,1.53,-13.50,1.00,30.00,53.650921,9.698082,8.10,0.07,12,4.071,-9,-177,-4,6,2
188735,-0.11,-0.03,1.00,0.73,-0.31,0.18,-11.50,1.00,33.00,53.650921,9.698082,8.10,0.13,12,4.070,-5,-178,-4,6,2
188852,-0.16,-0.01,1.01,-2.75,4.46,0.79,-13.50,3.00,33.00,53.650921,9.698082,8.10,0.06,12,4.041,-9,-173,-4,6,2
188952,-0.11,-0.02,1.00,-2.44,1.28,0.67,-12.50,5.00,31.00,53.650921,9.698082,8.10,0.06,12,4.091,-5,-164,-4,6,2
189052,-0.15,-0.00,0.98,0.24,1.95,0.49,-13.50,2.00,26.00,53.650921,9.698082,8.10,0.07,12,4.070,-8,-172,-4,6,2
189152,-0.13,-0.01,0.97,0.24,0.12,-0.18,-12.50,1.00,25.00,53.650921,9.698082,8.10,0.20,12,4.070,-7,-177,-4,6,2
189252,-0.11,-0.02,0.99,-0.49,-1.10,-0.18,-12.50,3.00,31.00,53.650921,9.698082,8.10,0.09,12,4.091,-6,-172,-4,6,2
189352,-0.15,-0.01,0.98,-0.06,-0.18,0.12,-12.50,2.00,29.00,53.650921,9.698082,8.10,0.07,12,4.090,-8,-173,-4,6,2
189452,-0.12,-0.01,0.99,0.73,1.22,-0.06,-13.50,5.00,30.00,53.650921,9.698082,8.10,0.00,12,4.090,-7,-165,-4,6,2
189552,-0.12,-0.03,0.97,-0.61,-0.18,0.31,-11.50,0.00,27.00,53.650921,9.698082,8.10,0.17,12,4.102,-6,165,-4,6,2
189660,-0.14,0.00,0.97,-2.50,2.81,1.10,-14.50,4.00,28.00,53.650921,9.698082,8.10,0.07,12,4.190,-8,-147,-4,6,2
189760,-0.13,-0.02,0.98,-1.53,0.49,0.18,-13.50,2.00,26.00,53.650921,9.698082,8.10,0.07,12,4.100,-7,-182,-4,6,2
189860,-0.11,-0.02,0.99,1.34,-1.71,-0.18,-14.50,4.00,28.00,53.650921,9.698082,8.10,0.07,12,4.100,-5,-169,-4,6,2
189960,-0.15,0.00,0.98,-0.12,0.79,0.24,-13.50,4.00,32.00,53.650921,9.698082,8.10,0.17,12,3.980,-8,-167,-4,6,2
190060,-0.13,0.01,1.00,2.26,-1.16,-0.79,-13.50,1.00,27.00,53.650921,9.698082,8.10,0.09,12,4.000,-7,-175,-4,6,2
190160,-0.11,-0.03,1.02,2.56,-3.36,-1.53,-12.50,3.00,22.00,53.650921,9.698082,8.10,0.07,12,3.961,-5,-171,-4,6,2
190260,-0.13,-0.01,1.00,-2.56,1.46,0.67,-13.50,3.00,24.00,53.650921,9.698082,8.10,0.07,12,4.061,-8,-171,-4,6,2
190360,-0.12,-0.03,1.03,2.14,0.55,-0.49,-14.50,3.00,27.00,53.650921,9.698082,8.10,0.07,12,3.971,-6,-171,-4,6,2
190460,-0.14,-0.00,0.96,0.55,0.67,0.37,-12.50,2.00,29.00,53.650921,9.698082,8.20,0.07,12,4.090,-8,-173,-4,6,2
190560,-0.15,-0.04,0.99,-0.49,-0.79,5.25,-12.50,3.00,28.00,53.650921,9.698082,8.20,0.07,12,4.062,-8,-172,-4,6,2
190660,-0.12,-0.02,0.96,-0.61,-0.12,-0.37,-11.50,3.00,32.00,53.650921,9.698082,8.20,0.07,12,4.141,-7,-172,-4,6,2
190760,-0.12,-0.01,1.00,-0.31,1.83,-0.37,-12.50,3.00,33.00,53.650921,9.698082,8.20,0.17,12,4.070,-7,-171,-4,6,2
190861,-0.14,-0.01,0.98,-1.28,0.37,0.49,-13.50,1.00,23.00,53.650921,9.698082,8.20,0.17,12,4.000,-8,-177,-4,6,2
190961,-0.11,-0.03,1.02,0.61,-0.92,-0.49,-13.50,0.00,26.00,53.650921,9.698082,8.20,0.13,12,4.031,-5,170,-4,6,2
191062,-0.11,-0.04,1.01,0.31,0.00,0.37,-14.50,1.00,25.00,53.650921,9.698082,8.20,0.13,12,4.042,-6,-166,-4,6,2
191163,-0.17,0.02,0.94,-1.77,0.24,0.18,-10.50,2.00,25.00,53.650921,9.698082,8.20,0.13,12,4.080,-9,-176,-4,6,2
191263,-0.11,-0.03,0.98,0.00,-0.18,0.18,-14.50,3.00,31.00,53.650921,9.698082,8.20,0.20,12,3.941,-6,-172,-4,6,2
191363,-0.14,-0.01,0.99,0.73,1.59,-0.55,-13.50,5.00,30.00,53.650921,9.698082,8.20,0.20,12,3.890,-8,-165,-4,6,2
191463,-0.13,-0.02,1.02,-2.44,0.43,1.46,-13.50,3.00,30.00,53.650921,9.698082,8.20,0.20,12,4.031,-6,-171,-4,6,2
191563,-0.11,-0.03,1.00,0.92,-1.22,-0.24,-12.50,3.00,31.00,53.650921,9.698082,8.20,0.20,12,4.061,-6,-171,-4,6,2
191665,-0.14,-0.06,1.02,3.85,-1.34,50.54,-14.50,1.00,33.00,53.650921,9.698083,8.20,0.20,12,3.933,-7,179,-4,6,2
191765,-0.15,-0.11,0.97,-0.92,-0.18,33.81,-11.50,2.00,34.00,53.650921,9.698082,8.20,0.20,12,4.016,-8,177,-4,6,2
191865,-0.08,-0.05,1.00,-3.48,-13.31,85.08,-12.50,1.00,28.00,53.650921,9.698083,8.20,0.20,12,4.063,-2,184,-4,6,2
191966,-0.14,-0.04,0.89,-10.56,14.71,52.67,-9.50,0.00,27.00,53.650921,9.698083,8.20,0.37,12,3.983,-11,171,-4,6,2
192066,-0.07,0.03,0.90,-73.06,32.53,9.34,-8.50,-1.00,29.00,53.650921,9.698083,8.20,0.37,12,4.005,-6,157,-4,6,2
192176,-0.14,0.02,0.95,-16.91,4.09,4.94,-5.50,-4.00,32.00,53.650921,9.698083,8.20,0.33,12,4.08-7,-4,178,-4,6,2
192276,-0.08,-0.00,1.01,-5.07,-2.32,18.19,-5.50,-4.00,28.00,53.650921,9.698083,8.20,0.33,12,4.17-1,-3,158,-4,6,2
192376,-0.09,0.09,0.99,-2.32,2.50,12.15,-4.50,-4.00,30.00,53.650921,9.698083,8.20,0.33,12,4.06-5,-5,169,-4,6,2
192476,-0.01,-0.05,1.03,-4.70,1.65,6.23,-3.50,-5.00,28.00,53.650921,9.698083,8.20,0.33,12,4.063,0,120,-4,6,2
192576,-0.04,0.00,1.03,8.18,-4.46,-0.18,-3.50,-5.00,27.00,53.650921,9.698083,8.20,0.33,12,4.01-1,-1,133,-4,6,2
192676,-0.12,-0.03,0.98,-15.44,15.01,-7.02,-4.50,-5.00,30.00,53.650921,9.698083,8.20,0.33,12,4.074,-9,141,-4,6,2
192776,0.10,0.37,0.77,70.68,-56.27,4.88,-2.50,-7.00,27.00,53.650921,9.698083,8.20,0.33,12,4.04-34,13,-62,-4,6,2
192876,-0.08,0.02,1.00,-5.68,4.46,-25.76,-5.50,-5.00,28.00,53.650921,9.698083,8.20,0.33,12,4.015,-10,135,-4,6,2
192976,-0.06,0.05,0.99,0.61,1.16,-1.71,-5.50,-5.00,28.00,53.650921,9.698083,8.20,0.43,12,4.05-2,-3,157,-4,6,2
193076,-0.01,0.08,0.94,12.88,-10.56,13.73,-5.50,-2.00,31.00,53.650921,9.698083,8.20,0.43,12,3.96-5,0,-161,-4,6,2
193176,-0.09,-0.01,1.01,9.89,-5.37,14.10,-3.50,-5.00,32.00,53.650921,9.698083,8.20,0.43,12,4.090,-5,133,-4,6,2
193276,-0.08,-0.01,0.98,0.98,0.06,-3.36,-4.50,-4.00,33.00,53.650921,9.698083,8.20,0.43,12,4.061,-5,147,-4,6,2
193376,-0.05,0.02,1.01,5.74,1.40,4.52,-5.50,-4.00,33.00,53.650921,9.698083,8.20,0.43,12,4.07-1,-3,156,-4,6,2
193476,-0.01,0.00,1.00,-24.05,19.35,-7.20,-2.50,-2.00,27.00,53.650921,9.698083,8.20,0.43,12,4.092,-2,137,-4,6,2
193590,-0.04,0.05,0.99,-1.16,0.18,0.43,-5.50,-7.00,30.00,53.650921,9.698083,8.20,0.43,12,4.09-4,0,143,-4,6,2
193693,-0.06,0.06,0.92,7.81,-7.93,-1.83,-4.50,-5.00,32.00,53.650921,9.698083,8.20,0.43,12,4.09-4,-3,158,-4,6,2
193795,-0.06,-0.00,1.02,22.28,-11.11,9.03,-4.50,-4.00,27.00,53.650921,9.698083,8.20,0.43,12,4.07-1,-3,151,-3,6,2
193895,-0.06,-0.00,0.94,-7.14,10.99,5.55,-3.50,-5.00,31.00,53.650921,9.698083,8.20,0.43,12,4.082,-5,134,-4,6,2
193995,-0.06,0.06,0.97,3.72,-4.58,-2.26,-3.50,-4.00,29.00,53.650921,9.698083,8.20,0.43,12,4.15-4,-2,157,-4,6,2
194095,-0.05,0.01,0.98,0.79,0.12,-0.24,-4.50,-5.00,30.00,53.650921,9.698083,8.20,0.43,12,4.080,-2,141,-4,6,2
194195,-0.05,0.00,1.03,2.87,-1.22,1.34,-5.50,-6.00,30.00,53.650921,9.698083,8.20,0.43,12,4.070,-2,139,-4,6,2
