IMU calibration complete.
IMU initialized successfully!
Ready to start!!
Waiting for button to start the program...
New Logging is starting!

magX,magY,magZ

-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-18.00,31.00,48.00


-18.00,31.00,48.00


-18.00,31.00,48.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-22.00,29.00,30.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,31.00,15.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-19.00,24.00,17.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-16.00,22.00,16.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-10.00,22.00,13.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-4.00,20.00,21.00


-2.00,18.00,33.00


-2.00,18.00,33.00


-2.00,18.00,33.00


-2.00,18.00,33.00


-2.00,18.00,33.00


-2.00,18.00,33.00


-2.00,18.00,33.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,19.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,22.00,27.00


0.00,19.00,32.00


0.00,19.00,32.00


0.00,19.00,32.00


0.00,19.00,32.00


0.00,19.00,32.00


0.00,19.00,32.00


0.00,19.00,32.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,20.00,33.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,27.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


1.00,29.00,29.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-1.00,33.00,32.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-2.00,33.00,31.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-5.00,38.00,33.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-8.00,35.00,39.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-7.00,37.00,41.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-9.00,35.00,39.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-11.00,30.00,41.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-14.00,33.00,48.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-22.00,25.00,50.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-21.00,24.00,48.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-20.00,24.00,51.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,24.00,54.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-22.00,23.00,46.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-20.00,24.00,49.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,19.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,16.00,53.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-24.00,12.00,47.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-27.00,9.00,52.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-23.00,10.00,53.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,9.00,48.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-22.00,4.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-19.00,3.00,54.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,2.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,50.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-17.00,1.00,55.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-16.00,3.00,50.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-14.00,0.00,49.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-14.00,3.00,50.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-13.00,2.00,53.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,2.00,56.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-12.00,3.00,53.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,-1.00,52.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-10.00,0.00,49.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-11.00,1.00,53.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,55.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,54.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


-8.00,4.00,57.00


